Bereshit 1:1:  When God began to create heaven and earth—
   0  בְּרֵאשִׁ֖ית          in·beginning
   1  בָּרָ֣א               created
   2  אֱלֹהִ֑ים             God
   3  אֵ֥ת                  [identifies object]
   4  הַשָּׁמַ֖יִם          the·heavens
   5  וְאֵ֥ת                and·[object]
   6  הָאָֽרֶץ              the·earth

Bereshit 1:2:  the earth being unformed and void, with darkness over the surface of the deep and a wind from God sweeping over the water—
   0  וְהָאָ֗רֶץ            land
   1  הָיְתָ֥ה              was
   2  תֹ֙הוּ֙               formlessness
   3  וָבֹ֔הוּ              emptiness
   4  וְחֹ֖שֶׁךְ            darkness
   5  עַל־פְּנֵ֣י           above·face
   6  תְה֑וֹם               deep
   7  וְר֣וּחַ              spirit
   8  אֱלֹהִ֔ים             God
   9  מְרַחֶ֖פֶת            hovering
  10  עַל־פְּנֵ֥י           above·face
  11  הַמָּֽיִם             the·waters

Bereshit 1:3:  God said, “Let there be light”; and there was light.
   0  וַיֹּ֥אמֶר            and·said
   1  אֱלֹהִ֖ים             God
   2  יְהִ֣י                let·there·be
   3  א֑וֹר                 light
   4  וַֽיְהִי־אֽוֹר        and·was·light

Bereshit 1:4:  God saw that the light was good, and God separated the light from the darkness.
   0  וַיַּ֧רְא             and·saw
   1  אֱלֹהִ֛ים             God
   2  אֶת־הָא֖וֹר           [identifies object]
   3  כִּי־ט֑וֹב            because·good
   4  וַיַּבְדֵּ֣ל          and·divided
   5  אֱלֹהִ֔ים             God
   6  בֵּ֥ין                between
   7  הָא֖וֹר               the·light
   8  וּבֵ֥ין               and·between
   9  הַחֹֽשֶׁךְ            darkness

Bereshit 1:5:  God called the light Day—and called the darkness Night. And there was evening and there was morning, a first day.
   0  וַיִּקְרָ֨א           and·called
   1  אֱלֹהִ֤ים             God
   2  לָאוֹר֙               give·light
   3  י֔וֹם                 day
   4  וְלַחֹ֖שֶׁךְ          darkness
   5  קָ֣רָא                call
   6  לָ֑יְלָה              night
   7  וַֽיְהִי־עֶ֥רֶב       and·was·evening
   8  וַֽיְהִי־בֹ֖קֶר       and·was·morning
   9  י֥וֹם                 day
  10  אֶחָֽד                one

Bereshit 1:6:  God said, “Let there be an expanse in the midst of the water, that it may separate water from water.”
   0  וַיֹּ֣אמֶר            and·said
   1  אֱלֹהִ֔ים             God
   2  יְהִ֥י                let·there·be
   3  רָקִ֖יעַ              firmament
   4  בְּת֣וֹךְ             midst
   5  הַמָּ֑יִם             the·waters
   6  וִיהִ֣י               and·it·was
   7  מַבְדִּ֔יל            divide
   8  בֵּ֥ין                between
   9  מַ֖יִם                water
  10  לָמָֽיִם              water

Bereshit 1:7:  God made the expanse, and it separated the water that was below the expanse from the water that was above the expanse. And it was so.
   0  וַיַּ֣עַשׂ            and·made
   1  אֱלֹהִים֮             God
   2  אֶת־הָרָקִ֒יעַ֒       [identifies object]
   3  וַיַּבְדֵּ֗ל          and·divided
   4  בֵּ֤ין                between
   5  הַמַּ֙יִם֙            the·waters
   6  אֲשֶׁר֙               which
   7  מִתַּ֣חַת             the under part
   8  לָרָקִ֔יעַ            firmament
   9  וּבֵ֣ין               and·between
  10  הַמַּ֔יִם             the·waters
  11  אֲשֶׁ֖ר               which
  12  מֵעַ֣ל                above
  13  לָרָקִ֑יעַ            firmament
  14  וַֽיְהִי־כֵֽן         and·was·so

Bereshit 1:8:  God called the expanse Sky. And there was evening and there was morning, a second day.
   0  וַיִּקְרָ֧א           and·called
   1  אֱלֹהִ֛ים             God
   2  לָֽרָקִ֖יעַ           firmament
   3  שָׁמָ֑יִם             heavens
   4  וַֽיְהִי־עֶ֥רֶב       and·was·evening
   5  וַֽיְהִי־בֹ֖קֶר       and·was·morning
   6  י֥וֹם                 day
   7  שֵׁנִֽי               two

Bereshit 1:9:  God said, “Let the water below the sky be gathered into one area, that the dry land may appear.” And it was so.
   0  וַיֹּ֣אמֶר            and·said
   1  אֱלֹהִ֗ים             God
   2  יִקָּו֨וּ             be·gathered
   3  הַמַּ֜יִם             the·waters
   4  מִתַּ֤חַת             the under part
   5  הַשָּׁמַ֙יִם֙         the·heavens
   6  אֶל־מָק֣וֹם           to·place
   7  אֶחָ֔ד                one
   8  וְתֵרָאֶ֖ה            and·saw
   9  הַיַּבָּשָׁ֑ה         dry land
  10  וַֽיְהִי־כֵֽן         and·was·so

Bereshit 1:10:  God called the dry land Earth—and called the gathering of waters Seas. And God saw that this was good.
   0  וַיִּקְרָ֨א           and·called
   1  אֱלֹהִ֤ים             God
   2  לַיַּבָּשָׁה֙         dry land
   3  אֶ֔רֶץ                land
   4  וּלְמִקְוֵ֥ה          n m
   5  הַמַּ֖יִם             the·waters
   6  קָרָ֣א                call
   7  יַמִּ֑ים              seas
   8  וַיַּ֥רְא             and·saw
   9  אֱלֹהִ֖ים             God
  10  כִּי־טֽוֹב            because·good

Bereshit 1:11:  And God said, “Let the earth sprout vegetation: seed-bearing plants, fruit trees of every kind on earth that bear fruit with the seed in it.” And it was so.
   0  וַיֹּ֣אמֶר            and·said
   1  אֱלֹהִ֗ים             God
   2  תַּֽדְשֵׁ֤א           sprout
   3  הָאָ֙רֶץ֙             the·earth
   4  דֶּ֗שֶׁא              grass
   5  עֵ֚שֶׂב               herb
   6  מַזְרִ֣יעַ            sow
   7  זֶ֔רַע                seed
   8  עֵ֣ץ                  tree
   9  פְּרִ֞י               fruit
  10  עֹ֤שֶׂה               made
  11  פְּרִי֙               fruit
  12  לְמִינ֔וֹ             kind
  13  אֲשֶׁ֥ר               which
  14  זַרְעוֹ־ב֖וֹ          its·seed·in·it
  15  עַל־הָאָ֑רֶץ          upon·the·earth
  16  וַֽיְהִי־כֵֽן         and·was·so

Bereshit 1:12:  The earth brought forth vegetation: seed-bearing plants of every kind, and trees of every kind bearing fruit with the seed in it. And God saw that this was good.
   0  וַתּוֹצֵ֨א            and·went·out
   1  הָאָ֜רֶץ              the·earth
   2  דֶּ֠שֶׁא              grass
   3  עֵ֣שֶׂב               herb
   4  מַזְרִ֤יעַ            sow
   5  זֶ֙רַע֙               seed
   6  לְמִינֵ֔הוּ           kind
   7  וְעֵ֧ץ                tree
   8  עֹֽשֶׂה־פְּרִ֛י       to do·fruit
   9  אֲשֶׁ֥ר               which
  10  זַרְעוֹ־ב֖וֹ          its·seed·in·it
  11  לְמִינֵ֑הוּ           kind
  12  וַיַּ֥רְא             and·saw
  13  אֱלֹהִ֖ים             God
  14  כִּי־טֽוֹב            because·good

Bereshit 1:13:  And there was evening and there was morning, a third day.
   0  וַֽיְהִי־עֶ֥רֶב       and·was·evening
   1  וַֽיְהִי־בֹ֖קֶר       and·was·morning
   2  י֥וֹם                 day
   3  שְׁלִישִֽׁי           third

Bereshit 1:14:  God said, “Let there be lights in the expanse of the sky to separate day from night; they shall serve as signs for the set times—the days and the years;
   0  וַיֹּ֣אמֶר            and·said
   1  אֱלֹהִ֗ים             God
   2  יְהִ֤י                let·there·be
   3  מְאֹרֹת֙              light
   4  בִּרְקִ֣יעַ           firmament
   5  הַשָּׁמַ֔יִם          the·heavens
   6  לְהַבְדִּ֕יל          divide
   7  בֵּ֥ין                between
   8  הַיּ֖וֹם              the·day
   9  וּבֵ֣ין               and·between
  10  הַלָּ֑יְלָה           night
  11  וְהָי֤וּ              be
  12  לְאֹתֹת֙              sign
  13  וּלְמ֣וֹעֲדִ֔ים       appointed place
  14  וּלְיָמִ֖ים           because·water
  15  וְשָׁנִֽים            year

Bereshit 1:15:  and they shall serve as lights in the expanse of the sky to shine upon the earth.” And it was so.
   0  וְהָי֤וּ              be
   1  לִמְאוֹרֹת֙           light
   2  בִּרְקִ֣יעַ           firmament
   3  הַשָּׁמַ֔יִם          the·heavens
   4  לְהָאִ֖יר             give·light
   5  עַל־הָאָ֑רֶץ          upon·the·earth
   6  וַֽיְהִי־כֵֽן         and·was·so

